name,slug,description,assets,facets,sku,optionGroups,optionValues,taxCategory,trackInventory,price,stockOnHand,variantAssets,variantFacets
Nutella Kinder Bueno Strawberry Crepe,nutella-kinder-bueno-strawberry-crepe,,Kinder + Strawberry nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD8,branch,mount-lavinia,Zero,,1280,30,,
,,,,,MAHD8,branch,maharagama,Zero,,1280,30,,
,,,,,KOLD8,branch,kollupitiya,Zero,,1280,30,,
,,,,,BAMD8,branch,bambalapitiya,Zero,,1280,30,,
,,,,,OGFD8,branch,one-galle-face,Zero,,1280,30,,
Nutella Brownie Strawberry Crepe,nutella-brownie-strawberry-crepe,,Brownie + Strawberry nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD9,branch,mount-lavinia,Zero,,1190,30,,
,,,,,MAHD9,branch,maharagama,Zero,,1190,30,,
,,,,,KOLD9,branch,kollupitiya,Zero,,1190,30,,
,,,,,BAMD9,branch,bambalapitiya,Zero,,1190,30,,
,,,,,OGFD9,branch,one-galle-face,Zero,,1190,30,,
Nutella Brownie Kitkat Crepe,nutella-brownie-kitkat-crepe,,Brownie + Kitkat nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD10,branch,mount-lavinia,Zero,,1230,30,,
,,,,,MAHD10,branch,maharagama,Zero,,1230,30,,
,,,,,KOLD10,branch,kollupitiya,Zero,,1230,30,,
,,,,,BAMD10,branch,bambalapitiya,Zero,,1230,30,,
,,,,,OGFD10,branch,one-galle-face,Zero,,1230,30,,
Nutella Banana Kitkat Crepe,nutella-banana-kitkat-crepe,,Banana+ Kitkat nutella .jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD11,branch,mount-lavinia,Zero,,950,30,,
,,,,,MAHD11,branch,maharagama,Zero,,950,30,,
,,,,,KOLD11,branch,kollupitiya,Zero,,950,30,,
,,,,,BAMD11,branch,bambalapitiya,Zero,,950,30,,
,,,,,OGFD11,branch,one-galle-face,Zero,,950,30,,
Nutella Brownie Oreo Crepe,nutella-brownie-oreo-crepe,,Brownie + Oreo Nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD12,branch,mount-lavinia,Zero,,1180,30,,
,,,,,MAHD12,branch,maharagama,Zero,,1180,30,,
